GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0028473	22209.0339598119	-0.562626872029345	0.0864162900241534	-6.51065756088454	7.48225397498848e-11	4.12286491322454e-09	chr2R	9396264	9398734	-	protein_coding	Non1
FBgn0036663	7669.7110472058	-0.663468743071433	0.1020163086081	-6.50355567775123	7.84433689713902e-11	4.29502268969302e-09	chr3L	16787572	16807731	-	protein_coding	CG9674
FBgn0044047	523.845912032422	-0.753211541721868	0.115850062595142	-6.50160668755176	7.94666471679738e-11	4.32368531226504e-09	chrX	2331492	2334658	-	protein_coding	Ilp6
FBgn0031547	266.309775541423	-1.17444636146467	0.181232159467575	-6.48034192670308	9.15149871963325e-11	4.9481009639717e-09	chr2L	3522520	3524056	-	protein_coding	Sr-CIV
FBgn0004108	652.649706617504	0.757821105755736	0.116997025672025	6.47726813056017	9.33981385810382e-11	5.01855463891032e-09	chr3L	16766071	16777465	+	protein_coding	Nrt
FBgn0259740	677.163602332149	0.768433217394746	0.118739879302168	6.47156811941205	9.69910145191256e-11	5.17943991731454e-09	chr3R	10849824	10851788	+	protein_coding	CG42394
FBgn0013811	350.766319884128	-0.83722299132685	0.130648312366986	-6.40821895176972	1.47229373744602e-10	7.81399578076414e-09	chr3L	1759171	1771758	-	protein_coding	Dhc62B
FBgn0011274	792.847146384338	-0.686237649614851	0.10719486028737	-6.40177754581866	1.53578322352837e-10	8.10125650411214e-09	chr2L	17413247	17433161	-	protein_coding	Dif
FBgn0063492	587.272882946283	0.728299377255462	0.113857806956496	6.39656951704454	1.58906504501948e-10	8.33151618452332e-09	chr2R	18407833	18408955	+	protein_coding	GstE8
FBgn0031313	1469.82770076219	-0.669145075649233	0.104658177955066	-6.39362435620198	1.61999128498644e-10	8.44249675085402e-09	chr2L	1160289	1163886	-	protein_coding	CG5080
FBgn0286071	428.145746911557	0.7502708841479	0.117661194723862	6.37653634155852	1.81137782866717e-10	9.34142546494001e-09	chr3R	15442245	15476193	-	protein_coding	AdamTS-A
FBgn0052412	1131.76148525344	-0.630823571158184	0.0989324177499716	-6.37630804447175	1.81407869391969e-10	9.34142546494001e-09	chr3L	5900834	5902456	-	protein_coding	QC
FBgn0267635	176.565094178472	1.04538476711433	0.164594201722869	6.35128550199154	2.13522994902207e-10	1.09301031295799e-08	chr3L	20404269	20407558	+	ncRNA	lncRNA:CR45973
FBgn0031307	1808.84152391546	0.709308531178929	0.111966239134207	6.33502149097571	2.37308193825991e-10	1.20761952046391e-08	chr2L	1143200	1147395	+	protein_coding	MFS3
FBgn0033775	46.2344311814749	1.3855180651939	0.218762127098264	6.3334457548566	2.3974562156331e-10	1.21288852172175e-08	chr2R	12840812	12842558	-	protein_coding	Cyp9h1
FBgn0250867	536.709593799802	0.771922357643504	0.121991149933346	6.32769146012044	2.48856101889665e-10	1.25165938223692e-08	chr2L	20965519	21052164	-	protein_coding	CG42238
FBgn0030529	9571.39441043706	-0.538642827336012	0.0854195517740849	-6.30584937697401	2.86617671461595e-10	1.43325403226257e-08	chrX	13812970	13822307	-	protein_coding	Clic
FBgn0038865	273.983994701258	-0.913893018848474	0.145276311299709	-6.29072290363352	3.15990949936828e-10	1.57105615396753e-08	chr3R	21159237	21161092	-	protein_coding	cDIP
FBgn0005640	1578.9920730356	0.624001295081998	0.0992518954988332	6.28704662964682	3.23562214662722e-10	1.59950669659841e-08	chr3L	3515750	3610521	+	protein_coding	Eip63E
FBgn0011722	12863.6403897208	-0.59717127201548	0.0950654238476694	-6.28168736692714	3.34917833564888e-10	1.64623532850559e-08	chr2L	6415178	6423310	-	protein_coding	Tig
FBgn0263873	778.528343280311	-0.87097125950534	0.138946190484907	-6.26840690245444	3.64760595576779e-10	1.78279317081057e-08	chr2L	19796364	19958424	+	protein_coding	sick
FBgn0027594	7074.89319118208	-0.555389564041225	0.0887052207038486	-6.26106963755211	3.82345724973445e-10	1.85824318356476e-08	chr3L	1715594	1731107	-	protein_coding	drpr
FBgn0030037	709.111525770565	0.652344712291557	0.104525171206929	6.24102983768482	4.34699308620054e-10	2.10088475914642e-08	chrX	8433922	8437820	-	protein_coding	Miga
FBgn0025678	10053.0401293928	0.497143197038901	0.0796900706949486	6.23845847673987	4.41903886716022e-10	2.12383917998906e-08	chr2L	16354885	16356735	-	protein_coding	CaBP1
FBgn0039809	571.099435499704	-0.822367455229614	0.132095705968972	-6.22554267905407	4.7989199066571e-10	2.29367160842489e-08	chr3R	30881791	30883503	-	protein_coding	CG15547
FBgn0033724	152.113964994451	1.14790616377271	0.184495546648045	6.22186380445555	4.91283424245555e-10	2.33521588085071e-08	chr2R	12383044	12384520	+	protein_coding	CG8501
FBgn0260745	6027.53404929252	-0.570925870969142	0.0920216861014198	-6.20425353149809	5.49571277961692e-10	2.59800061510743e-08	chr3R	11984861	11993315	-	protein_coding	mfas
FBgn0013272	13716.1287419496	-0.47781067485683	0.0770488174363691	-6.20140179635374	5.59624360423572e-10	2.63114692501322e-08	chr2R	22317661	22329416	+	protein_coding	Gp150
FBgn0026376	1386.51399323404	-0.885337436477322	0.14289277837599	-6.19581651738728	5.79836426705388e-10	2.7114405013126e-08	chr3L	13906896	13925335	-	protein_coding	Rgl
FBgn0035344	76.8633213284638	-1.23392590458541	0.19941745413166	-6.18765247986138	6.10667682206551e-10	2.84026135417681e-08	chr3L	2476258	2478448	-	protein_coding	Cyp4d20
FBgn0262620	253.433214611439	0.959465660944071	0.155569691157066	6.16743308936302	6.94074667548029e-10	3.21093045398824e-08	chr2L	21657624	21658249	+	ncRNA	lncRNA:CR43144
FBgn0267252	106.908419399831	-1.13170550005245	0.183541014696563	-6.16595425236931	7.00593389956205e-10	3.223847561974e-08	chr2L	9256562	9302494	+	protein_coding	Ggamma30A
FBgn0038877	990.843483929096	-0.639341472272152	0.104024717797158	-6.14605341702372	7.94345423559803e-10	3.6167801364294e-08	chr3R	21271077	21273817	-	protein_coding	CG3308
FBgn0261808	398.092236317446	-0.796793776653243	0.129633545473656	-6.14650917508975	7.92067430655253e-10	3.6167801364294e-08	chr3R	11197591	11208633	+	protein_coding	cu
FBgn0027949	1427.83789410477	0.600432604037442	0.0977473642548886	6.14269866624473	8.11311073917006e-10	3.67468696358954e-08	chr2L	19577700	19579131	+	protein_coding	msb1l
FBgn0026721	3814.69173431834	-0.698509196314991	0.11375401043762	-6.1405236934309	8.22498650676534e-10	3.70595615989724e-08	chr2R	17054001	17059299	+	protein_coding	fat-spondin
FBgn0032638	127.181816828965	-1.15001461036653	0.187385229793764	-6.13716786340225	8.40056078408681e-10	3.76545343746813e-08	chr2L	17454262	17455923	-	protein_coding	SPH93
FBgn0010591	1627.43657165247	-0.648627250616989	0.105712160225922	-6.1357865474585	8.47388734281009e-10	3.77874223725e-08	chr2R	17088440	17091958	-	protein_coding	Sply
FBgn0020257	1097.4672937257	-0.634936971898987	0.103575263419387	-6.13019895810509	8.77692440193014e-10	3.89380374364603e-08	chr2R	22684954	22688987	-	protein_coding	Ppa
FBgn0086355	4042.68258338477	0.635031740278267	0.103852545067157	6.11474412945411	9.67120110082693e-10	4.26865105730887e-08	chr3R	30132980	30134599	-	protein_coding	Tpi
FBgn0266005	390.666666964937	-0.841096814035815	0.137758487449686	-6.10558978693066	1.02421756716423e-09	4.4977188698161e-08	chrX	1047241	1088866	+	ncRNA	lncRNA:CR44779
FBgn0034354	364.623569850594	0.836998592201721	0.137746496735635	6.07636935992718	1.22934067921897e-09	5.37122536157744e-08	chr2R	18503607	18505025	+	protein_coding	GstE11
FBgn0031258	144.272042695933	-1.08185091443532	0.178535372328903	-6.05958864242488	1.36470104582492e-09	5.93267776252834e-08	chr2L	458875	472200	-	protein_coding	CG4297
FBgn0000299	50267.4259535465	0.570406589418495	0.0943621975306463	6.04486334936448	1.49536688815211e-09	6.46820947470195e-08	chr2L	5029608	5037279	+	protein_coding	Col4a1
FBgn0035761	564.700336405343	0.682068734577127	0.113190555099503	6.02584494773028	1.6822840393695e-09	7.24051702715697e-08	chr3L	7321098	7323411	-	protein_coding	RhoGEF4
FBgn0033782	157.571372881534	-1.09183419850912	0.181459603430593	-6.0169546161647	1.77728882547279e-09	7.61154734117087e-08	chr2R	12924566	12930644	+	protein_coding	sug
FBgn0037635	191.252929697033	-0.90713145402918	0.1510160457472	-6.0068547652725	1.89156813123835e-09	8.0610620213512e-08	chr3R	8807678	8813579	-	protein_coding	CG9837
FBgn0031689	270.377587704601	0.86239831693812	0.143624001586737	6.00455569689235	1.91856547643595e-09	8.13603428267029e-08	chr2L	5210459	5212445	+	protein_coding	Cyp28d1
FBgn0036007	1246.17384961202	0.704514563785947	0.117357211189272	6.00316381623719	1.93509200938793e-09	8.16608827961705e-08	chr3L	9494554	9505328	-	protein_coding	path
FBgn0267488	2392.10085049677	0.603155055110157	0.100562119867762	5.99783552597441	1.99964898347587e-09	8.39755502720863e-08	chr2L	8074116	8082982	-	protein_coding	Mcr
FBgn0032029	336.377592910783	-0.836202540532338	0.14001338077329	-5.97230447485817	2.33925424706626e-09	9.77627463351217e-08	chr2L	8370453	8374250	+	protein_coding	CG17292
FBgn0039640	72.4661209150608	-1.24106483203755	0.208144703048909	-5.96250980139487	2.4839274700315e-09	1.03309887227127e-07	chr3R	29138661	29145787	+	protein_coding	CG14516
FBgn0027091	1170.16222236978	-0.622566632165332	0.104457067369604	-5.96002403516159	2.52200836439215e-09	1.04391839044768e-07	chr2R	16143146	16145906	+	protein_coding	CysRS
FBgn0035266	376.184083146777	0.873394146610784	0.146817299887354	5.94885035537979	2.70032370418603e-09	1.10713271871627e-07	chr3L	1738406	1745421	+	protein_coding	Gk2
FBgn0031913	980.618035532498	-0.716827606962175	0.12049350710487	-5.94909737616229	2.69625206063956e-09	1.10713271871627e-07	chr2L	7430529	7433516	-	protein_coding	CG5958
FBgn0035727	67.8155455971664	1.20862678116592	0.203307310755472	5.94482695518802	2.76749056820225e-09	1.12931891063763e-07	chr3L	6971578	6972467	-	protein_coding	CG10063
FBgn0035232	1724.86493440446	-0.554468917127722	0.0933788327282522	-5.93784373747012	2.88795097549324e-09	1.17294196661934e-07	chr3L	1555362	1558484	-	protein_coding	CG12099
FBgn0039098	310.969627481851	-0.888102999438846	0.149607638900969	-5.93621425993305	2.91678571928243e-09	1.17911744193983e-07	chr3R	23677357	23678421	+	protein_coding	GILT3
FBgn0032036	7839.05070773397	-0.55758229274839	0.0941334839178314	-5.92331516418855	3.15515325513176e-09	1.2695456190765e-07	chr2L	8384454	8388804	+	protein_coding	CG13384
FBgn0001122	1027.09758660478	0.683571426805426	0.115880841060777	5.89891668500153	3.65895924211102e-09	1.45869384347937e-07	chr2R	10437984	10465701	+	protein_coding	Galphao
FBgn0030598	37.7032368701724	1.33787785376472	0.226792870794352	5.8991177680266	3.65450331553159e-09	1.45869384347937e-07	chrX	14919251	14923493	-	protein_coding	CG9503
FBgn0003074	2130.24900297736	0.580995962745015	0.0987167915304208	5.88548263915136	3.96894049172976e-09	1.57501395385111e-07	chr2R	8910899	8914069	-	protein_coding	Pgi
FBgn0031117	336.254576317748	0.834531405360783	0.141931711684174	5.87980934956791	4.10739291155051e-09	1.62251397615632e-07	chrX	20467454	20469796	+	protein_coding	GstT3
FBgn0036896	629.989428236084	-0.778468240290113	0.132492629013871	-5.87555886002243	4.21419192437867e-09	1.65713519717272e-07	chr3L	19624405	19635783	-	protein_coding	wnd
FBgn0039613	2547.99351143886	-0.542599424513323	0.0925100145306795	-5.86530471610053	4.48308620694638e-09	1.75489496725308e-07	chr3R	28880791	28882945	+	protein_coding	Nepl20
FBgn0259821	174.460594885044	0.923938281567895	0.157634219508351	5.86127989499734	4.59313008158793e-09	1.78987244755933e-07	chr3R	4077938	4104326	+	protein_coding	CG42402
FBgn0032859	3511.72837246072	-0.489980435485994	0.0838214561466613	-5.84552521527044	5.04972434410235e-09	1.95897602245872e-07	chr2L	20417056	20423027	+	protein_coding	Arpc2
FBgn0039886	885.299777879607	-0.623354840158864	0.107307242403676	-5.80906587659652	6.28223683425342e-09	2.42623352022885e-07	chr3R	31978120	31990909	+	protein_coding	CG2003
FBgn0005660	197.644292025189	0.86660417684678	0.149214688568365	5.80776721890707	6.33114559677876e-09	2.43425513589924e-07	chr2L	544924	552923	-	protein_coding	Ets21C
FBgn0263041	109.590839178953	-1.20135517736992	0.207593733404144	-5.78704933752081	7.16335442931001e-09	2.74204332601597e-07	chr3R	15637167	15638181	+	protein_coding	CG43336
FBgn0266873	904.60022001994	0.59215704396224	0.102508542966292	5.77666043070145	7.6197847054137e-09	2.90391002143321e-07	chr2L	21929063	21931698	+	ncRNA	lncRNA:CR45334
FBgn0039776	3295.23429071967	-0.510851703499902	0.0885193728557685	-5.77107233161573	7.87686519842352e-09	2.98871758033166e-07	chr3R	30466049	30485799	+	protein_coding	PH4alphaEFB
FBgn0001091	4204.60098406652	0.617838640413126	0.107341385932772	5.75582879841031	8.62177306327362e-09	3.25707243538778e-07	chr2R	7791900	7793380	-	protein_coding	Gapdh1
FBgn0262579	5507.8144092503	-0.567990691259724	0.0988533572610445	-5.7457906033461	9.14924747261221e-09	3.43375551561944e-07	chr3L	8063873	8108897	+	protein_coding	Sarm
FBgn0034400	5921.06015797587	-0.528551419005398	0.0919951272390295	-5.74542842505203	9.1688535904299e-09	3.43375551561944e-07	chr2R	18836820	18846619	-	protein_coding	CG15099
FBgn0010225	12838.8535145438	-0.488592876324851	0.0855110829212324	-5.71379591549453	1.10483490202258e-08	4.11979600749887e-07	chr3R	4235216	4241057	+	protein_coding	Gel
FBgn0030349	1835.99646992066	-0.569767977162931	0.099911206369126	-5.70274344459319	1.1789435912934e-08	4.37727081900395e-07	chrX	11877736	11887162	-	protein_coding	CG10353
FBgn0038660	1608.4141633272	-0.517407681488506	0.0908570974642851	-5.69474147786741	1.23558996076829e-08	4.56798664555833e-07	chr3R	18911052	18912922	-	protein_coding	Sgsh
FBgn0033504	2126.56574869333	-0.671173832529518	0.117889066039492	-5.69326617877083	1.24631856201456e-08	4.58804335318638e-07	chr2R	10269015	10307024	+	protein_coding	CAP
FBgn0031516	869.771749287961	0.667558449021941	0.117509047135774	5.68091108977015	1.33979114936554e-08	4.91124289540733e-07	chr2L	3294925	3303130	-	protein_coding	CG9663
FBgn0015568	206.461249517425	0.892371094860829	0.1572456594793	5.67501257469241	1.38678468400097e-08	5.04081021478174e-07	chr3R	7545732	7549124	-	protein_coding	alpha-Est1
FBgn0259224	300.212383073638	0.956099040692451	0.168475251454475	5.6750118040382	1.38679092719692e-08	5.04081021478174e-07	chr3L	3472446	3510895	+	protein_coding	CG42324
FBgn0041629	13052.960107701	0.518892318981144	0.0920351990168657	5.63797682325928	1.72059659050376e-08	6.22798372571046e-07	chrX	8709651	8712478	+	protein_coding	Hexo2
FBgn0032775	3158.99874918198	-0.716980192109253	0.127402344484158	-5.62768444342409	1.82644821532131e-08	6.58358479614361e-07	chr2L	19390369	19398493	-	protein_coding	CG17544
FBgn0027348	235.794389602953	-0.900872396320613	0.160206907403438	-5.6231807412149	1.87473071343836e-08	6.7295831543383e-07	chr2L	14013003	14019328	+	protein_coding	bgm
FBgn0037739	321.346490790778	0.732968068769281	0.130406282462119	5.62064997890108	1.90240356842338e-08	6.80069969852507e-07	chr3R	9746166	9747744	-	protein_coding	CG12948
FBgn0045852	2114.68150951203	-0.620682805748127	0.110576188171125	-5.61316876638551	1.98654676446344e-08	7.07226998328117e-07	chr2L	18762873	18792906	-	protein_coding	ham
FBgn0285963	1757.67897996889	0.515462856944005	0.0919940182374913	5.6032214574353	2.1040411779132e-08	7.45986075005208e-07	chr3R	26915760	26945309	+	protein_coding	CG46339
FBgn0020248	35.9047135379435	1.26566552183953	0.225997956767058	5.60034055150367	2.13931106315226e-08	7.55395102340009e-07	chr3L	1475437	1489547	-	protein_coding	stet
FBgn0029095	4112.6592551366	-0.489476379040577	0.0875487991903386	-5.5908976886869	2.25898663734574e-08	7.94410300799917e-07	chr2L	861848	868354	-	protein_coding	aru
FBgn0259111	2429.07199011956	0.574482478814166	0.1029637150253	5.5794653356574	2.41259017853222e-08	8.44992616780659e-07	chr2L	7223327	7249343	-	protein_coding	Ndae1
FBgn0013680	77.348280515649	1.27422365717705	0.229629769703756	5.54903512214865	2.87250473855529e-08	1.00201768117911e-06	chrM	239	1263	+	protein_coding	mt:ND2
FBgn0010470	4891.89087003612	0.453692302579512	0.0821190210719494	5.52481382092956	3.29835185160758e-08	1.14594545655651e-06	chr2R	21487166	21497929	-	protein_coding	Fkbp14
FBgn0000079	158.98640027863	-1.0004294539613	0.181643484743863	-5.50765393744796	3.63647380121166e-08	1.25836539417128e-06	chr2R	17118635	17120303	-	protein_coding	Amy-p
FBgn0027596	533.478042710814	-0.769667995989647	0.140209634332222	-5.48940876748844	4.03281351270837e-08	1.38995496806534e-06	chr2R	14901474	14928425	-	protein_coding	Kank
FBgn0001114	38048.8325026404	-0.536941842679907	0.0978742148060527	-5.48603984965713	4.11044209523094e-08	1.41108867324773e-06	chr2L	8672697	8676804	+	protein_coding	Glt
FBgn0086906	1145.87853291593	0.67631595793537	0.124139606986316	5.44802721995021	5.09315652249778e-08	1.74153743383906e-06	chr3L	2039680	2115611	-	protein_coding	sls
FBgn0013688	23.9087109850574	1.24428187022906	0.229178236818086	5.42931950042327	5.65693330170721e-08	1.92669803122319e-06	chrM	14130	14916	-	rRNA	mt:srRNA
FBgn0033188	1323.15003525026	-0.533855461674556	0.0983985577179167	-5.42543990537933	5.78119785604273e-08	1.96129971186767e-06	chr2R	7526117	7532981	-	protein_coding	Drat
FBgn0041342	3686.39361309026	-0.5450226787892	0.100485845394735	-5.42387514030664	5.83206276990519e-08	1.97082714931444e-06	chr3L	1546091	1553504	+	protein_coding	Pcyt1
FBgn0039637	2997.77528783014	-0.508095537315503	0.093773376723714	-5.41833466030036	6.01567345450841e-08	2.02496463248841e-06	chr3R	29123369	29128247	+	protein_coding	Ctl2
FBgn0261602	49355.7936660565	-0.606259192007174	0.111961062885162	-5.414911009098	6.13191953760426e-08	2.05609441549669e-06	chr3L	2587455	2588883	+	protein_coding	RpL8
FBgn0013576	2588.57024242894	-0.472897036364852	0.0873589101870151	-5.41326620664668	6.18853800111537e-08	2.067067268249e-06	chr3R	5270115	5350443	-	protein_coding	mtd
FBgn0036732	2476.20284839816	-0.550286421303071	0.101953218097556	-5.39744042975199	6.75983068166245e-08	2.2492036625793e-06	chr3L	17487117	17511693	+	protein_coding	Oatp74D
FBgn0034391	66.0378425327785	1.11602046778353	0.207833070613165	5.36979251902	7.88272794579264e-08	2.61277699076828e-06	chr2R	18783298	18794594	+	protein_coding	CG15080
FBgn0003447	37.2978097085874	1.2175422347012	0.227595540009443	5.34958740690033	8.81549767791523e-08	2.91079658059712e-06	chrX	7964023	7986601	+	protein_coding	sn
FBgn0264693	4477.18193169954	-0.53239842165835	0.0997436389754698	-5.33766791674088	9.41496957419452e-08	3.0969164177322e-06	chr3L	4122906	4134550	-	protein_coding	ens
FBgn0052681	158.735978018403	-0.888171309852502	0.166976233145115	-5.31914807947914	1.04254259421138e-07	3.4163015085313e-06	chrX	10376650	10381352	-	protein_coding	CG32681
